,value,value_classification,timestamp
0,58,Greed,2019-03-17
1,56,Greed,2019-03-18
2,56,Greed,2019-03-19
3,55,Greed,2019-03-20
4,62,Greed,2019-03-21
5,56,Greed,2019-03-22
6,50,Neutral,2019-03-23
7,44,Fear,2019-03-24
8,46,Fear,2019-03-25
9,43,Fear,2019-03-26
10,44,Fear,2019-03-27
11,49,Neutral,2019-03-28
12,50,Neutral,2019-03-29
13,57,Greed,2019-03-30
14,56,Greed,2019-03-31
15,62,Greed,2019-04-01
16,60,Greed,2019-04-02
17,71,Greed,2019-04-03
18,61,Greed,2019-04-04
19,59,Greed,2019-04-05
20,65,Greed,2019-04-06
21,69,Greed,2019-04-07
22,65,Greed,2019-04-08
23,64,Greed,2019-04-09
24,62,Greed,2019-04-10
25,65,Greed,2019-04-11
26,42,Fear,2019-04-12
27,62,Greed,2019-04-13
28,51,Neutral,2019-04-14
29,60,Greed,2019-04-15
30,50,Neutral,2019-04-16
31,61,Greed,2019-04-17
32,64,Greed,2019-04-18
33,61,Greed,2019-04-19
34,62,Greed,2019-04-20
35,62,Greed,2019-04-21
36,61,Greed,2019-04-22
37,68,Greed,2019-04-23
38,65,Greed,2019-04-24
39,58,Greed,2019-04-25
40,41,Fear,2019-04-26
41,42,Fear,2019-04-27
42,40,Fear,2019-04-28
43,42,Fear,2019-04-29
44,42,Fear,2019-04-30
45,51,Neutral,2019-05-01
46,50,Neutral,2019-05-02
47,63,Greed,2019-05-03
48,66,Greed,2019-05-04
49,67,Greed,2019-05-05
50,57,Greed,2019-05-06
51,69,Greed,2019-05-07
52,63,Greed,2019-05-08
53,69,Greed,2019-05-09
54,71,Greed,2019-05-10
55,76,Extreme Greed,2019-05-11
56,75,Greed,2019-05-12
57,78,Extreme Greed,2019-05-13
58,78,Extreme Greed,2019-05-14
59,77,Extreme Greed,2019-05-15
60,75,Greed,2019-05-16
61,65,Greed,2019-05-17
62,67,Greed,2019-05-18
63,70,Greed,2019-05-19
64,73,Greed,2019-05-20
65,68,Greed,2019-05-21
66,69,Greed,2019-05-22
67,65,Greed,2019-05-23
68,64,Greed,2019-05-24
69,69,Greed,2019-05-25
70,67,Greed,2019-05-26
71,70,Greed,2019-05-27
72,71,Greed,2019-05-28
73,71,Greed,2019-05-29
74,73,Greed,2019-05-30
75,61,Greed,2019-05-31
76,62,Greed,2019-06-01
77,63,Greed,2019-06-02
78,66,Greed,2019-06-03
79,42,Fear,2019-06-04
80,27,Fear,2019-06-05
81,34,Fear,2019-06-06
82,27,Fear,2019-06-07
83,62,Greed,2019-06-08
84,62,Greed,2019-06-09
85,46,Fear,2019-06-10
86,61,Greed,2019-06-11
87,60,Greed,2019-06-12
88,63,Greed,2019-06-13
89,67,Greed,2019-06-14
90,75,Greed,2019-06-15
91,80,Extreme Greed,2019-06-16
92,84,Extreme Greed,2019-06-17
93,83,Extreme Greed,2019-06-18
94,82,Extreme Greed,2019-06-19
95,81,Extreme Greed,2019-06-20
96,84,Extreme Greed,2019-06-21
97,83,Extreme Greed,2019-06-22
98,84,Extreme Greed,2019-06-23
99,80,Extreme Greed,2019-06-24
100,87,Extreme Greed,2019-06-25
101,95,Extreme Greed,2019-06-26
102,92,Extreme Greed,2019-06-27
103,62,Greed,2019-06-28
104,74,Greed,2019-06-29
105,78,Extreme Greed,2019-06-30
106,65,Greed,2019-07-01
107,63,Greed,2019-07-02
108,79,Extreme Greed,2019-07-03
109,76,Extreme Greed,2019-07-04
110,67,Greed,2019-07-05
111,72,Greed,2019-07-06
112,67,Greed,2019-07-07
113,74,Greed,2019-07-08
114,84,Extreme Greed,2019-07-09
115,83,Extreme Greed,2019-07-10
116,62,Greed,2019-07-11
117,33,Fear,2019-07-12
118,65,Greed,2019-07-13
119,61,Greed,2019-07-14
120,16,Extreme Fear,2019-07-15
121,34,Fear,2019-07-16
122,19,Extreme Fear,2019-07-17
123,40,Fear,2019-07-18
124,42,Fear,2019-07-19
125,34,Fear,2019-07-20
126,42,Fear,2019-07-21
127,42,Fear,2019-07-22
128,40,Fear,2019-07-23
129,20,Extreme Fear,2019-07-24
130,42,Fear,2019-07-25
131,24,Extreme Fear,2019-07-26
132,47,Neutral,2019-07-27
133,16,Extreme Fear,2019-07-28
134,19,Extreme Fear,2019-07-29
135,22,Extreme Fear,2019-07-30
136,31,Fear,2019-07-31
137,57,Greed,2019-08-01
138,61,Greed,2019-08-02
139,61,Greed,2019-08-03
140,62,Greed,2019-08-04
141,64,Greed,2019-08-05
142,66,Greed,2019-08-06
143,45,Fear,2019-08-07
144,61,Greed,2019-08-08
145,60,Greed,2019-08-09
146,59,Greed,2019-08-10
147,45,Fear,2019-08-11
148,48,Neutral,2019-08-12
149,45,Fear,2019-08-13
150,11,Extreme Fear,2019-08-14
151,13,Extreme Fear,2019-08-15
152,31,Fear,2019-08-16
153,20,Extreme Fear,2019-08-17
154,14,Extreme Fear,2019-08-18
155,30,Fear,2019-08-19
156,39,Fear,2019-08-20
157,11,Extreme Fear,2019-08-21
158,5,Extreme Fear,2019-08-22
159,33,Fear,2019-08-23
160,39,Fear,2019-08-24
161,33,Fear,2019-08-25
162,41,Fear,2019-08-26
163,30,Fear,2019-08-27
