Week,Week,Cardano
2019-03-24,2019-03-24,5
2019-03-31,2019-03-31,6
2019-04-07,2019-04-07,4
2019-04-14,2019-04-14,4
2019-04-21,2019-04-21,3
2019-04-28,2019-04-28,3
2019-05-05,2019-05-05,3
2019-05-12,2019-05-12,5
2019-05-19,2019-05-19,4
2019-05-26,2019-05-26,4
2019-06-02,2019-06-02,4
2019-06-09,2019-06-09,3
2019-06-16,2019-06-16,4
2019-06-23,2019-06-23,4
2019-06-30,2019-06-30,3
2019-07-07,2019-07-07,3
2019-07-14,2019-07-14,3
2019-07-21,2019-07-21,2
2019-07-28,2019-07-28,2
2019-08-04,2019-08-04,2
2019-08-11,2019-08-11,2
2019-08-18,2019-08-18,2
2019-08-25,2019-08-25,2
2019-09-01,2019-09-01,3
2019-09-08,2019-09-08,3
2019-09-15,2019-09-15,3
2019-09-22,2019-09-22,3
2019-09-29,2019-09-29,3
2019-10-06,2019-10-06,3
2019-10-13,2019-10-13,3
2019-10-20,2019-10-20,2
2019-10-27,2019-10-27,2
2019-11-03,2019-11-03,2
2019-11-10,2019-11-10,3
2019-11-17,2019-11-17,3
2019-11-24,2019-11-24,2
2019-12-01,2019-12-01,3
2019-12-08,2019-12-08,2
2019-12-15,2019-12-15,3
2019-12-22,2019-12-22,2
2019-12-29,2019-12-29,2
2020-01-05,2020-01-05,3
2020-01-12,2020-01-12,3
2020-01-19,2020-01-19,3
2020-01-26,2020-01-26,4
2020-02-02,2020-02-02,4
2020-02-09,2020-02-09,4
2020-02-16,2020-02-16,3
2020-02-23,2020-02-23,3
2020-03-01,2020-03-01,3
2020-03-08,2020-03-08,3
2020-03-15,2020-03-15,3
2020-03-22,2020-03-22,3
2020-03-29,2020-03-29,3
2020-04-05,2020-04-05,3
2020-04-12,2020-04-12,2
2020-04-19,2020-04-19,3
2020-04-26,2020-04-26,4
2020-05-03,2020-05-03,3
2020-05-10,2020-05-10,3
2020-05-17,2020-05-17,3
2020-05-24,2020-05-24,5
2020-05-31,2020-05-31,6
2020-06-07,2020-06-07,4
2020-06-14,2020-06-14,4
2020-06-21,2020-06-21,4
2020-06-28,2020-06-28,6
2020-07-05,2020-07-05,7
2020-07-12,2020-07-12,6
2020-07-19,2020-07-19,5
2020-07-26,2020-07-26,8
2020-08-02,2020-08-02,6
2020-08-09,2020-08-09,5
2020-08-16,2020-08-16,5
2020-08-23,2020-08-23,4
2020-08-30,2020-08-30,4
2020-09-06,2020-09-06,4
2020-09-13,2020-09-13,4
2020-09-20,2020-09-20,4
2020-09-27,2020-09-27,4
2020-10-04,2020-10-04,3
2020-10-11,2020-10-11,3
2020-10-18,2020-10-18,3
2020-10-25,2020-10-25,3
2020-11-01,2020-11-01,3
2020-11-08,2020-11-08,3
2020-11-15,2020-11-15,4
2020-11-22,2020-11-22,6
2020-11-29,2020-11-29,5
2020-12-06,2020-12-06,4
2020-12-13,2020-12-13,5
2020-12-20,2020-12-20,5
2020-12-27,2020-12-27,8
2021-01-03,2021-01-03,17
2021-01-10,2021-01-10,12
2021-01-17,2021-01-17,13
2021-01-24,2021-01-24,10
2021-01-31,2021-01-31,25
2021-02-07,2021-02-07,52
2021-02-14,2021-02-14,45
2021-02-21,2021-02-21,68
2021-02-28,2021-02-28,66
2021-03-07,2021-03-07,39
2021-03-14,2021-03-14,64
2021-03-21,2021-03-21,41
2021-03-28,2021-03-28,35
2021-04-04,2021-04-04,36
2021-04-11,2021-04-11,51
2021-04-18,2021-04-18,42
2021-04-25,2021-04-25,43
2021-05-02,2021-05-02,57
2021-05-09,2021-05-09,100
2021-05-16,2021-05-16,93
2021-05-23,2021-05-23,54
2021-05-30,2021-05-30,45
2021-06-06,2021-06-06,32
2021-06-13,2021-06-13,26
2021-06-20,2021-06-20,28
2021-06-27,2021-06-27,22
2021-07-04,2021-07-04,22
2021-07-11,2021-07-11,18
2021-07-18,2021-07-18,19
2021-07-25,2021-07-25,22
2021-08-01,2021-08-01,22
2021-08-08,2021-08-08,53
2021-08-15,2021-08-15,59
2021-08-22,2021-08-22,84
2021-08-29,2021-08-29,65
2021-09-05,2021-09-05,66
2021-09-12,2021-09-12,60
2021-09-19,2021-09-19,42
2021-09-26,2021-09-26,32
2021-10-03,2021-10-03,32
2021-10-10,2021-10-10,30
2021-10-17,2021-10-17,34
2021-10-24,2021-10-24,35
2021-10-31,2021-10-31,36
2021-11-07,2021-11-07,40
2021-11-14,2021-11-14,31
2021-11-21,2021-11-21,38
2021-11-28,2021-11-28,35
2021-12-05,2021-12-05,33
2021-12-12,2021-12-12,25
2021-12-19,2021-12-19,25
2021-12-26,2021-12-26,25
2022-01-02,2022-01-02,28
2022-01-09,2022-01-09,28
2022-01-16,2022-01-16,46
2022-01-23,2022-01-23,31
2022-01-30,2022-01-30,26
2022-02-06,2022-02-06,25
2022-02-13,2022-02-13,21
2022-02-20,2022-02-20,25
2022-02-27,2022-02-27,19
2022-03-06,2022-03-06,19
2022-03-13,2022-03-13,18
2022-03-20,2022-03-20,29
2022-03-27,2022-03-27,25
2022-04-03,2022-04-03,20
2022-04-10,2022-04-10,18
2022-04-17,2022-04-17,15
2022-04-24,2022-04-24,16
2022-05-01,2022-05-01,17
2022-05-08,2022-05-08,24
2022-05-15,2022-05-15,16
2022-05-22,2022-05-22,15
2022-05-29,2022-05-29,18
2022-06-05,2022-06-05,17
2022-06-12,2022-06-12,19
2022-06-19,2022-06-19,16
2022-06-26,2022-06-26,13
2022-07-03,2022-07-03,12
2022-07-10,2022-07-10,10
2022-07-17,2022-07-17,13
2022-07-24,2022-07-24,13
2022-07-31,2022-07-31,9
2022-08-07,2022-08-07,12
2022-08-14,2022-08-14,13
2022-08-21,2022-08-21,10
2022-08-28,2022-08-28,12
2022-09-04,2022-09-04,12
2022-09-11,2022-09-11,11
2022-09-18,2022-09-18,13
2022-09-25,2022-09-25,10
2022-10-02,2022-10-02,8
2022-10-09,2022-10-09,10
2022-10-16,2022-10-16,10
2022-10-23,2022-10-23,10
2022-10-30,2022-10-30,10
2022-11-06,2022-11-06,11
2022-11-13,2022-11-13,10
2022-11-20,2022-11-20,9
2022-11-27,2022-11-27,8
2022-12-04,2022-12-04,7
2022-12-11,2022-12-11,8
2022-12-18,2022-12-18,8
2022-12-25,2022-12-25,8
2023-01-01,2023-01-01,8
2023-01-08,2023-01-08,12
2023-01-15,2023-01-15,10
2023-01-22,2023-01-22,10
2023-01-29,2023-01-29,11
2023-02-05,2023-02-05,9
2023-02-12,2023-02-12,9
2023-02-19,2023-02-19,9
2023-02-26,2023-02-26,7
2023-03-05,2023-03-05,6
2023-03-12,2023-03-12,8
2023-03-19,2023-03-19,9
2023-03-26,2023-03-26,9
2023-04-02,2023-04-02,8
2023-04-09,2023-04-09,11
2023-04-16,2023-04-16,9
2023-04-23,2023-04-23,8
2023-04-30,2023-04-30,7
2023-05-07,2023-05-07,8
2023-05-14,2023-05-14,6
2023-05-21,2023-05-21,7
2023-05-28,2023-05-28,8
2023-06-04,2023-06-04,11
2023-06-11,2023-06-11,9
2023-06-18,2023-06-18,8
2023-06-25,2023-06-25,8
2023-07-02,2023-07-02,8
2023-07-09,2023-07-09,9
2023-07-16,2023-07-16,8
2023-07-23,2023-07-23,7
2023-07-30,2023-07-30,7
2023-08-06,2023-08-06,6
2023-08-13,2023-08-13,7
2023-08-20,2023-08-20,6
2023-08-27,2023-08-27,7
2023-09-03,2023-09-03,6
2023-09-10,2023-09-10,7
2023-09-17,2023-09-17,7
2023-09-24,2023-09-24,6
2023-10-01,2023-10-01,7
2023-10-08,2023-10-08,6
2023-10-15,2023-10-15,8
2023-10-22,2023-10-22,9
2023-10-29,2023-10-29,9
2023-11-05,2023-11-05,13
2023-11-12,2023-11-12,10
2023-11-19,2023-11-19,9
2023-11-26,2023-11-26,9
2023-12-03,2023-12-03,21
2023-12-10,2023-12-10,19
2023-12-17,2023-12-17,14
2023-12-24,2023-12-24,14
2023-12-31,2023-12-31,12
2024-01-07,2024-01-07,14
2024-01-14,2024-01-14,10
2024-01-21,2024-01-21,8
2024-01-28,2024-01-28,8
2024-02-04,2024-02-04,8
2024-02-11,2024-02-11,11
2024-02-18,2024-02-18,11
2024-02-25,2024-02-25,18
2024-03-03,2024-03-03,22
2024-03-10,2024-03-10,17
2024-03-17,2024-03-17,13
2024-03-24,2024-03-24,12
