Week,Week,cardano price
2019-03-24,2019-03-24,2
2019-03-31,2019-03-31,3
2019-04-07,2019-04-07,2
2019-04-14,2019-04-14,2
2019-04-21,2019-04-21,1
2019-04-28,2019-04-28,1
2019-05-05,2019-05-05,1
2019-05-12,2019-05-12,2
2019-05-19,2019-05-19,2
2019-05-26,2019-05-26,2
2019-06-02,2019-06-02,1
2019-06-09,2019-06-09,1
2019-06-16,2019-06-16,1
2019-06-23,2019-06-23,2
2019-06-30,2019-06-30,1
2019-07-07,2019-07-07,1
2019-07-14,2019-07-14,1
2019-07-21,2019-07-21,1
2019-07-28,2019-07-28,1
2019-08-04,2019-08-04,1
2019-08-11,2019-08-11,1
2019-08-18,2019-08-18,1
2019-08-25,2019-08-25,1
2019-09-01,2019-09-01,1
2019-09-08,2019-09-08,1
2019-09-15,2019-09-15,1
2019-09-22,2019-09-22,<1
2019-09-29,2019-09-29,1
2019-10-06,2019-10-06,1
2019-10-13,2019-10-13,<1
2019-10-20,2019-10-20,1
2019-10-27,2019-10-27,1
2019-11-03,2019-11-03,1
2019-11-10,2019-11-10,<1
2019-11-17,2019-11-17,1
2019-11-24,2019-11-24,<1
2019-12-01,2019-12-01,1
2019-12-08,2019-12-08,<1
2019-12-15,2019-12-15,1
2019-12-22,2019-12-22,1
2019-12-29,2019-12-29,1
2020-01-05,2020-01-05,1
2020-01-12,2020-01-12,1
2020-01-19,2020-01-19,1
2020-01-26,2020-01-26,1
2020-02-02,2020-02-02,1
2020-02-09,2020-02-09,1
2020-02-16,2020-02-16,1
2020-02-23,2020-02-23,1
2020-03-01,2020-03-01,1
2020-03-08,2020-03-08,1
2020-03-15,2020-03-15,1
2020-03-22,2020-03-22,1
2020-03-29,2020-03-29,1
2020-04-05,2020-04-05,1
2020-04-12,2020-04-12,1
2020-04-19,2020-04-19,1
2020-04-26,2020-04-26,1
2020-05-03,2020-05-03,1
2020-05-10,2020-05-10,1
2020-05-17,2020-05-17,1
2020-05-24,2020-05-24,2
2020-05-31,2020-05-31,3
2020-06-07,2020-06-07,2
2020-06-14,2020-06-14,2
2020-06-21,2020-06-21,2
2020-06-28,2020-06-28,2
2020-07-05,2020-07-05,4
2020-07-12,2020-07-12,3
2020-07-19,2020-07-19,2
2020-07-26,2020-07-26,4
2020-08-02,2020-08-02,3
2020-08-09,2020-08-09,3
2020-08-16,2020-08-16,2
2020-08-23,2020-08-23,2
2020-08-30,2020-08-30,2
2020-09-06,2020-09-06,1
2020-09-13,2020-09-13,1
2020-09-20,2020-09-20,1
2020-09-27,2020-09-27,1
2020-10-04,2020-10-04,1
2020-10-11,2020-10-11,1
2020-10-18,2020-10-18,1
2020-10-25,2020-10-25,1
2020-11-01,2020-11-01,1
2020-11-08,2020-11-08,1
2020-11-15,2020-11-15,2
2020-11-22,2020-11-22,4
2020-11-29,2020-11-29,3
