Week,Week,Bitcoin,Cardano,cardano price,cryptocurrency,Ethereum
2019-03-24,2019-03-24,9,5,2,7,3
2019-03-31,2019-03-31,15,6,3,9,4
2019-04-07,2019-04-07,13,4,2,8,3
2019-04-14,2019-04-14,11,4,2,7,3
2019-04-21,2019-04-21,12,3,1,7,3
2019-04-28,2019-04-28,11,3,1,7,3
2019-05-05,2019-05-05,14,3,1,7,3
2019-05-12,2019-05-12,23,5,2,11,6
2019-05-19,2019-05-19,17,4,2,8,4
2019-05-26,2019-05-26,19,4,2,10,5
2019-06-02,2019-06-02,15,4,1,9,3
2019-06-09,2019-06-09,14,3,1,9,3
2019-06-16,2019-06-16,22,4,1,16,5
2019-06-23,2019-06-23,33,4,2,13,7
2019-06-30,2019-06-30,21,3,1,9,5
2019-07-07,2019-07-07,20,3,1,9,10
2019-07-14,2019-07-14,21,3,1,9,14
2019-07-21,2019-07-21,16,3,1,8,3
2019-07-28,2019-07-28,16,2,1,7,3
2019-08-04,2019-08-04,18,3,1,7,3
2019-08-11,2019-08-11,16,2,1,7,3
2019-08-18,2019-08-18,15,2,1,6,3
2019-08-25,2019-08-25,15,2,1,7,3
2019-09-01,2019-09-01,14,3,1,7,3
2019-09-08,2019-09-08,12,3,1,6,3
2019-09-15,2019-09-15,12,3,1,7,3
2019-09-22,2019-09-22,15,3,<1,6,3
2019-09-29,2019-09-29,12,3,1,6,3
2019-10-06,2019-10-06,12,3,1,6,3
2019-10-13,2019-10-13,11,3,<1,6,2
2019-10-20,2019-10-20,14,2,1,7,2
2019-10-27,2019-10-27,13,2,1,6,2
2019-11-03,2019-11-03,11,2,1,6,3
2019-11-10,2019-11-10,10,3,<1,6,2
2019-11-17,2019-11-17,12,3,1,6,3
2019-11-24,2019-11-24,13,3,<1,6,3
2019-12-01,2019-12-01,11,3,1,6,2
2019-12-08,2019-12-08,11,2,<1,5,2
2019-12-15,2019-12-15,12,3,1,6,3
2019-12-22,2019-12-22,10,2,1,6,3
2019-12-29,2019-12-29,11,2,1,6,3
2020-01-05,2020-01-05,13,3,1,6,3
2020-01-12,2020-01-12,14,3,1,7,4
2020-01-19,2020-01-19,12,3,1,7,3
2020-01-26,2020-01-26,14,4,1,7,3
2020-02-02,2020-02-02,13,4,1,6,5
2020-02-09,2020-02-09,16,4,1,8,7
2020-02-16,2020-02-16,14,3,1,8,6
2020-02-23,2020-02-23,15,3,1,7,4
2020-03-01,2020-03-01,13,3,1,10,4
2020-03-08,2020-03-08,24,3,1,9,5
2020-03-15,2020-03-15,25,3,1,7,5
2020-03-22,2020-03-22,19,3,1,7,4
2020-03-29,2020-03-29,16,3,1,7,3
2020-04-05,2020-04-05,16,3,1,7,4
2020-04-12,2020-04-12,15,2,1,7,4
2020-04-19,2020-04-19,15,3,1,8,5
2020-04-26,2020-04-26,20,4,1,9,6
2020-05-03,2020-05-03,22,3,1,10,6
2020-05-10,2020-05-10,27,3,1,10,6
2020-05-17,2020-05-17,18,3,1,8,5
2020-05-24,2020-05-24,16,5,2,7,5
2020-05-31,2020-05-31,16,6,3,7,6
2020-06-07,2020-06-07,14,5,2,7,5
2020-06-14,2020-06-14,14,4,2,7,5
2020-06-21,2020-06-21,12,4,2,7,6
2020-06-28,2020-06-28,13,6,2,7,5
2020-07-05,2020-07-05,12,8,4,8,6
2020-07-12,2020-07-12,15,6,3,8,5
2020-07-19,2020-07-19,13,5,2,8,7
2020-07-26,2020-07-26,20,9,4,11,13
2020-08-02,2020-08-02,19,6,3,10,13
2020-08-09,2020-08-09,16,5,3,11,11
2020-08-16,2020-08-16,16,5,2,11,9
2020-08-23,2020-08-23,14,4,2,9,7
2020-08-30,2020-08-30,15,4,2,11,10
2020-09-06,2020-09-06,14,4,1,8,8
2020-09-13,2020-09-13,13,4,1,9,6
2020-09-20,2020-09-20,12,4,1,8,5
2020-09-27,2020-09-27,11,4,1,6,5
2020-10-04,2020-10-04,11,3,1,7,4
2020-10-11,2020-10-11,12,3,1,7,4
2020-10-18,2020-10-18,16,3,1,8,6
2020-10-25,2020-10-25,17,3,1,7,6
2020-11-01,2020-11-01,18,3,1,7,6
2020-11-08,2020-11-08,20,3,1,8,8
2020-11-15,2020-11-15,27,4,2,11,10
2020-11-22,2020-11-22,30,6,4,15,16
2020-11-29,2020-11-29,25,5,3,14,13
2020-12-06,2020-12-06,21,4,2,12,9
2020-12-13,2020-12-13,33,5,3,14,12
2020-12-20,2020-12-20,34,5,3,16,13
2020-12-27,2020-12-27,52,7,6,20,22
2021-01-03,2021-01-03,86,17,13,35,57
2021-01-10,2021-01-10,81,13,10,32,44
2021-01-17,2021-01-17,53,13,10,24,38
2021-01-24,2021-01-24,47,10,8,35,35
2021-01-31,2021-01-31,43,26,19,42,45
2021-02-07,2021-02-07,78,52,37,59,51
2021-02-14,2021-02-14,70,49,34,46,51
2021-02-21,2021-02-21,81,68,46,41,49
2021-02-28,2021-02-28,53,66,45,26,34
2021-03-07,2021-03-07,51,41,27,29,35
2021-03-14,2021-03-14,52,60,39,31,30
2021-03-21,2021-03-21,45,41,31,29,27
2021-03-28,2021-03-28,44,35,26,30,35
2021-04-04,2021-04-04,42,35,27,39,34
2021-04-11,2021-04-11,53,52,43,62,46
2021-04-18,2021-04-18,68,42,33,67,44
2021-04-25,2021-04-25,51,45,33,48,47
2021-05-02,2021-05-02,43,59,56,87,92
2021-05-09,2021-05-09,57,100,100,100,100
2021-05-16,2021-05-16,100,93,93,94,84
2021-05-23,2021-05-23,71,56,57,62,68
2021-05-30,2021-05-30,51,46,44,48,46
2021-06-06,2021-06-06,52,31,31,39,40
2021-06-13,2021-06-13,40,27,23,34,31
2021-06-20,2021-06-20,48,28,27,37,38
2021-06-27,2021-06-27,36,23,21,27,31
2021-07-04,2021-07-04,29,21,20,25,27
2021-07-11,2021-07-11,29,18,15,23,25
2021-07-18,2021-07-18,34,20,17,22,28
2021-07-25,2021-07-25,39,21,18,24,31
2021-08-01,2021-08-01,31,22,20,25,43
2021-08-08,2021-08-08,37,56,42,30,44
2021-08-15,2021-08-15,32,63,52,28,35
2021-08-22,2021-08-22,33,85,76,29,33
2021-08-29,2021-08-29,28,66,62,27,38
2021-09-05,2021-09-05,37,70,51,30,37
2021-09-12,2021-09-12,28,62,39,26,28
