Week,Bitcoin,Cardano,cardano price,cryptocurrency,Ethereum
2019-03-17,7,3,2,5,3
2019-03-24,7,3,2,5,3
2019-03-31,13,4,3,7,5
2019-04-07,11,2,2,6,5
2019-04-14,9,2,2,5,4
2019-04-21,10,2,1,6,4
2019-04-28,9,2,1,5,4
2019-05-05,12,2,1,6,5
2019-05-12,20,3,2,8,9
2019-05-19,14,2,2,7,6
2019-05-26,16,2,2,8,6
2019-06-02,13,2,1,7,5
2019-06-09,11,2,1,7,5
2019-06-16,18,2,2,10,6
2019-06-23,27,3,2,10,9
2019-06-30,19,2,1,7,6
2019-07-07,18,2,1,7,10
2019-07-14,17,1,1,7,13
2019-07-21,14,1,1,6,4
2019-07-28,14,1,1,6,4
2019-08-04,15,1,1,6,4
2019-08-11,13,1,1,5,4
2019-08-18,13,1,1,5,4
2019-08-25,38,1,1,5,4
2019-09-01,100,1,1,5,3
2019-09-08,58,1,1,5,4
2019-09-15,53,1,1,6,5
2019-09-22,35,1,1,6,4
2019-09-29,10,1,1,5,4
2019-10-06,11,1,1,5,4
2019-10-13,9,1,1,5,3
2019-10-20,11,1,1,6,4
2019-10-27,11,1,<1,5,4
2019-11-03,10,1,1,5,3
2019-11-10,9,1,<1,5,3
2019-11-17,10,1,1,5,3
2019-11-24,11,1,1,5,4
2019-12-01,9,1,1,5,3
2019-12-08,8,1,<1,4,3
2019-12-15,9,1,1,5,4
2019-12-22,9,1,1,5,3
2019-12-29,9,1,1,5,4
2020-01-05,11,1,1,5,4
2020-01-12,11,1,1,6,5
2020-01-19,11,1,1,5,4
2020-01-26,11,2,1,6,4
2020-02-02,11,2,1,6,6
2020-02-09,14,2,1,8,9
2020-02-16,12,2,1,7,7
2020-02-23,12,1,1,6,6
2020-03-01,11,1,1,6,5
2020-03-08,21,1,1,7,7
2020-03-15,21,1,1,6,6
2020-03-22,15,1,1,6,5
2020-03-29,13,1,1,5,4
2020-04-05,13,1,1,6,5
2020-04-12,13,1,1,6,5
2020-04-19,12,1,1,6,6
2020-04-26,17,2,1,8,7
2020-05-03,19,2,1,7,7
2020-05-10,22,2,1,8,7
2020-05-17,15,2,1,7,6
2020-05-24,13,3,2,7,6
